Place of Interest,Type of place,Place address,BiciMAD station,Station locaiton,Available bikes
Fuente de Sevilla,Monuments,GLORIETA SEVILLA ,85 - Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell,7
Francisco de Paula Martí Mora,Monuments,Pº El Salvador ,85 - Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell,7
Ruperto Chapí,Monuments,Pº Duque de Fernán Núñez ,85 - Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell,7
Cuba,Monuments,PASEO EL SALVADOR ,85 - Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell,7
General Martínez Campos,Monuments,Pza Guatemala ,85 - Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell,7
Estanque óvalo del Retiro,Monuments,Pº Panamá ,85 - Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell,7
Ría Norte y estanque de la Montaña Artificial del Retiro,Monuments,Pº Duque de Fernán Núñez ,85 - Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell,7
Puerta de la América Española del Retiro,Monuments,Pza Menéndez Pelayo 10,85 - Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell,7
Puerta de O´Donnell del Retiro,Monuments,C O'Donnell ,85 - Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell,7
Justo Arosemena,Monuments,Pº Panamá ,85 - Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell,7
Montaña Artificial del Retiro,Monuments,Pº Duque de Fernán Núñez ,85 - Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell,7
Casa del Pescador del Retiro,Monuments,Pº Duque de Fernán Núñez ,85 - Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell,7
Ruinas de la ermita de san Pelayo y san Isidoro,Monuments, ,85 - Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell,7
Virgen de los Reyes,Monuments,Gta Sevilla ,85 - Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell,7
Consuelo Rubio,Monuments,C O'Donnell 11,85 - Puerta de Madrid,Avenida de Menéndez Pelayo esquina calle O'Donnell,7
Escultura a la  Universidad en Cantoblanco,Monuments,CIUDAD UNIVERSITARIA AUTONOMA ,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Santiago Ramón y Cajal,Monuments,CALLE SAN MODESTO 1,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Sagrado Corazón de Jesús,Monuments,PLAZA MADRE MARIA ANA MOGAS 12,217 - Pedro Rico,Calle Pedro Rico nº 4,0
La Paz,Monuments,Pº Castellana 261,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Grupo escultórico a la Universidad en Cantoblanco,Monuments, ,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Serie escultórica en la Universidad de Cantoblanco,Monuments, ,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Mirasierra,Monuments,CALLE NURIA 29,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Fuente del Hospital La Paz,Monuments,Pº Castellana 261,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Monumento a los caídos de Fuencarral,Monuments,PLAZA MADRE MARIA ANA MOGAS 2,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Thomas Alva Edison,Monuments, ,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Escudo Casa Parroquial San Miguel Arcángel,Monuments,CALLE ISLAS BERMUDAS 28,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Máquina de vapor,Monuments, ,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Lázaro Cárdenas,Monuments,Pza Lázaro Cárdenas ,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Almirante Miguel Grau,Monuments, ,217 - Pedro Rico,Calle Pedro Rico nº 4,0
León Felipe,Monuments, ,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Juan Santamaría,Monuments,Pza Juan Santamaría ,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Estanque con surtidor del parque Norte,Monuments,C Arzobispo Morcillo ,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Fuente del parque Fuencarral,Monuments, ,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Héroes de la Independencia de 1808,Monuments,C Isla de Java ,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Plaza de Juan Santamaría,Monuments,Pza Juan Santamaría ,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Monolito de Pizarra I,Monuments,Avda Monforte de Lemos ,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Colegio Príncipe Felipe,Monuments,AVENIDA MONFORTE DE LEMOS 24,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Homenaje a Miró,Monuments, ,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Princesa de Yaiza,Monuments, ,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Ana Tutor,Monuments,Avda Ventisquero de la Condesa ,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Puerta de la Ilustración,Monuments,C Ginzo de Limia ,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Mirasierra Suites Hotel,Monuments,C Alfredo Marqueríe 43,217 - Pedro Rico,Calle Pedro Rico nº 4,0
Maestro Guillermo Valencia,Monuments,Avda Séneca 6,112 - Paseo de Moret,Paseo de Moret nº 11,13
Miguel Antonio Caro,Monuments,Avda Séneca 6,112 - Paseo de Moret,Paseo de Moret nº 11,13
Hernán Cortés,Monuments,Avda Séneca 4,112 - Paseo de Moret,Paseo de Moret nº 11,13
Santísima Virgen,Monuments,PASEO CAMOENS Y VALERO ,112 - Paseo de Moret,Paseo de Moret nº 11,13
Inauguración Colegio Mayor Iberoamericano Nuestra Señora de Guadalupe,Monuments,Avda Séneca 6,112 - Paseo de Moret,Paseo de Moret nº 11,13
José Gervasio Artigas,Monuments,PASEO RUPERTO CHAPI ,112 - Paseo de Moret,Paseo de Moret nº 11,13
Simón Bolívar,Monuments, ,112 - Paseo de Moret,Paseo de Moret nº 11,13
Eugenio María de Hostos,Monuments, ,112 - Paseo de Moret,Paseo de Moret nº 11,13
"Jaime I El Conquistador, Rey de Aragón",Monuments,C Francisco y Jacinto Alcántara ,112 - Paseo de Moret,Paseo de Moret nº 11,13
Mariscal Santa Cruz Calahumana,Monuments,Avda Séneca ,112 - Paseo de Moret,Paseo de Moret nº 11,13
Concepción Arenal,Monuments,Pº Moret ,112 - Paseo de Moret,Paseo de Moret nº 11,13
Elena Fortún,Monuments,PASEO RUPERTO CHAPI ,112 - Paseo de Moret,Paseo de Moret nº 11,13
Escultura Puerta de Madrid,Monuments, ,112 - Paseo de Moret,Paseo de Moret nº 11,13
Miguel Hidalgo,Monuments, ,112 - Paseo de Moret,Paseo de Moret nº 11,13
Al Maestro,Monuments, ,112 - Paseo de Moret,Paseo de Moret nº 11,13
Miguel Hernández,Monuments,Pº Ruperto Chapí ,112 - Paseo de Moret,Paseo de Moret nº 11,13
Estanque con surtidor y ría del parque del Oeste,Monuments,PASEO RUPERTO CHAPI ,112 - Paseo de Moret,Paseo de Moret nº 11,13
Juan de Villanueva,Monuments,Pº Camoens y Valero ,112 - Paseo de Moret,Paseo de Moret nº 11,13
Enrique Tierno Galván,Monuments,C Ferraz 79,112 - Paseo de Moret,Paseo de Moret nº 11,13
Mapa Península Ibérica,Monuments, ,112 - Paseo de Moret,Paseo de Moret nº 11,13
Fuente de la colonia Manzanares,Monuments,C Ribera del Manzanares ,112 - Paseo de Moret,Paseo de Moret nº 11,13
Eugenio de Santa Cruz y Espejo,Monuments,PASEO CAMOENS Y VALERO 2,112 - Paseo de Moret,Paseo de Moret nº 11,13
Juan Pablo Duarte y Díez,Monuments, ,112 - Paseo de Moret,Paseo de Moret nº 11,13
Francisco de Asis de Borbón,Monuments,PASEO VIRGEN DEL PUERTO 1,161 - Paseo de la Florida,Paseo de la Florida nº 8,18
Sagrado Corazón de Jesús,Monuments,GLORIETA SAN ANTONIO DE LA FLORIDA 1,161 - Paseo de la Florida,Paseo de la Florida nº 8,18
El Bosque de los Tótems,Monuments,Pº Florida 2,161 - Paseo de la Florida,Paseo de la Florida nº 8,18
